Taxon,rbcL,rps4-trnS,trnG-trnR,trnL-F,trnP-petG,ID
Dryopteris aitoniana Pic. Serm.,KY073633,—,KY073681,KY073696,KY073718,E466
Dryopteris antarctica (Baker) C. Chr.,KY073634,—,—,—,KY073719,E624
Dryopteris aquilinoides (Desv.) C. Chr.,KY073635,—,—,—,KY073720,E634
Dryopteris athamantica (Kunze) Kuntze,—,—,—,KY073697,KY073721,E407
Dryopteris athamantica (Kunze) Kuntze,KY073636,—,—,KY073698,KY073722,E492
Dryopteris azorica (Christ) Alston,KY073637,KY073662,—,KY073699,—,E460
Dryopteris bernieri Tardieu,KY073638,—,—,—,KY073723,E633
Dryopteris bojeri (Baker) Kuntze,KY073639,KY073663,KY073682,—,KY073724,E568
Dryopteris cambrensis Beitel & W.R. Buck,—,—,—,KY073700,—,E425
Dryopteris cognata Kuntze,KY073640,—,—,—,KY073725,E546
Dryopteris comorensis (Tardieu) Fraser-Jenk.,—,KY073664,—,—,—,E628
Dryopteris dracomontana Schelpe,KY073641,KY073665,KY073683,—,KY073726,E635
Dryopteris fadenii Pic. Serm.,KY073642,KY073666,KY073684,KY073701,KY073727,E459
Dryopteris glandulosopaleata J.P.Roux,KY073643,KY073667,—,KY073702,KY073728,E457
Dryopteris inaequalis (Schltdl.) Kuntze,—,—,KY073685,KY073703,KY073729,E401
Dryopteris inaequalis (Schltdl.) Kuntze,KY073644,—,—,—,KY073730,E632
Dryopteris katangaensis J.P.Roux,KY073645,KY073668,KY073686,KY073704,KY073731,E626
Dryopteris kilemensis (Kuhn) Kuntze,KY073646,KY073669,KY073687,KY073705,KY073732,E489
Dryopteris kilemensis (Kuhn) Kuntze,KY073647,—,—,KY073706,—,E505
Dryopteris lewalleana Pic. Serm.,—,—,—,KY073707,—,E500
Dryopteris lewalleana Pic. Serm.,KY073648,KY073670,—,—,KY073733,E501
Dryopteris lewalleana Pic. Serm.,KY073649,KY073671,KY073688,—,KY073734,E637
Dryopteris manniana (Hook.) C. Chr.,KY073650,KY073672,KY073689,KY073708,KY073735,E510
Dryopteris napoleonis Kuntze,—,KY073673,KY073690,—,KY073736,E509
Dryopteris occidentalis J.P. Roux,KY073651,KY073674,KY073691,KY073709,KY073737,E458
Dryopteris oligodonta Pic.Serm.,KY073652,—,KY073692,—,KY073738,E640
Dryopteris pallida Fomin,KY073653,—,—,KY073710,—,E523
Dryopteris pentheri (Krasser) C. Chr.,—,—,KY073693,KY073711,KY073739,E400
Dryopteris pentheri (Krasser) C. Chr.,KY073654,—,KY073694,—,KY073740,E636
Dryopteris schimperiana (Hochst. ex A. Braun) C. Chr.,—,—,KY073695,KY073712,KY073741,E405
Dryopteris schimperiana (Hochst. ex A. Braun) C. Chr.,—,—,—,KY073713,—,E527
Dryopteris schimperiana (Hochst. ex A. Braun) C. Chr.,KY073655,KY073675,—,—,KY073742,E639
Dryopteris schnellii Tardieu,KY073656,—,—,—,KY073743,E455
Dryopteris squamiseta (Hook.) Kuntze,KY073657,KY073676,—,KY073714,—,E504
Dryopteris subcrenulata (Baker) C. Chr.,KY073658,KY073677,—,—,—,E638
Dryopteris tricellularis J.P. Roux,KY073659,KY073678,—,KY073715,—,E456
Dryopteris tyrrhena Fraser-Jenk. & Reichst. in Fraser-Jenkins,KY073660,KY073679,—,KY073716,—,E494
Dryopteris villarii Woyn. ex Schinz & Thell.,KY073661,KY073680,—,KY073717,—,E414
Dryopteris aemula (Aiton) Kuntze,AY268881,JN189189,JN188979,JN189084,JN189301,—
Dryopteris affinis subsp. affinis (Lowe) Fraser-Jenk.,AY268849,JN189190,JN188980,AY268780,JN189302,—
Dryopteris affinis subsp. borreri Fraser-Jenk.,AY268847,—,—,AY268778,—,—
Dryopteris alpestris Tagawa,JN189536,JN189210,JN189000,JN189105,JN189322,—
Dryopteris amurensis Christ,AB575112,JX535816,—,JX535869,—,—
Dryopteris anadroma Mitsuta,AB575113,—,—,—,—,—
Dryopteris annamensis (Tagawa) Li Bing Zhang,EF463125,—,—,EF540698,—,—
Dryopteris antarctica (Baker) C. Chr.,JN189577,JN189250,JN189038,JN189141,JN189356,—
Dryopteris anthracinisquama Miyam.,AB575114,—,—,—,—,—
Dryopteris apiciflora (Wall. ex Mett.) Holttum & P.J. Edwards,KT831856,—,—,—,—,—
Dryopteris aquilinoides (Desv.) C. Chr.,JN189537,JN189211,JN189001,JN189106,JN189323,—
Dryopteris ardechensis Fraser-Jenk.,JN189596,JN189271,JN189056,AY268817,JN189377,—
Dryopteris arguta (Kaulf.) Maxon,JQ935258,JQ936838,JQ683022,JN105310,JQ683066,—
Dryopteris athamantica (Kunze) Kuntze,JN189538,JN189212,JN189002,JN189107,JN189324,—
Dryopteris atrata (Wall. ex Kunze) Ching,DQ508771,JX535817,—,—,—,—
Dryopteris barberigera (T. Moore ex Hook.) Kuntze,JN189539,JN189213,JN189003,JN189108,JN189325,—
Dryopteris basisora Christ,AY587119,DQ191828,—,—,—,—
Dryopteris bernieri Tardieu,KF992480,—,—,—,—,—
Dryopteris bissetiana (Baker) C. Chr.,KC896561,JN189261,JN189048,AY268796,JN189367,—
Dryopteris bodinieri (Christ) C. Chr.,KP271073,DQ191830,—,KP271092,—,—
Dryopteris campyloptera (Kunze) Clarkson,JQ935255,JQ936819,JQ683013,JN105306,JQ683051,—
Dryopteris carthusiana (Vill.) H.P. Fuchs,JN189511,JN189184,JN188974,JN189079,JN189296,—
Dryopteris caucasica (A. Braun) Fraser-Jenk. & M.F.V. Corley,JN189540,JN189214,JN189004,JN189109,JN189326,—
Dryopteris caudipinna Nakai,LC043077,JX535818,—,JX535871,—,—
"Dryopteris celsa (W. Palmer) Knowlt., Palmer & Pollard",JN189499,JN189175,JN188962,JN189069,JN189284,—
Dryopteris championii (Benth.) C. Chr. ex Ching,KT831857,DQ151856,JN189049,KC896581,JN189368,—
Dryopteris chinensis (Baker) Koidz.,KC896543,JN189215,JN189005,KC896578,JN189327,—
Dryopteris christensenae (Ching) Li Bing Zhang,KJ196809,—,—,KJ196679,—,—
Dryopteris chrysocoma (Christ) C. Chr.,JN189542,JN189216,JN189006,JN189111,JN189328,—
Dryopteris cinnamomea (Cav.) C. Chr.,JN189528,JN189202,JN188992,AY278398,JN189314,—
Dryopteris clarkei (Baker) Kuntze,DQ054525,JX535855,—,JX535910,—,—
Dryopteris clintoniana (D.C. Eaton) Dowell,JN189498,JN189174,JN188961,JN189068,JN189283,—
Dryopteris cochleata (Buch.-Ham. ex D. Don) C. Chr.,AY587121,DQ191833,—,—,—,—
Dryopteris commixta Tagawa,AB575120,JX535820,—,JX535873,—,—
Dryopteris conjugata Ching,AY587116,DQ191834,—,—,—,—
Dryopteris coreano-montana Nakai,AB575121,—,—,—,—,—
Dryopteris corleyi Fraser-Jenk.,AY268873,—,—,AY268808,—,—
Dryopteris costalisora Tagawa,JN189603,JN189278,JN189063,JN189170,JN189384,—
Dryopteris crassirhizoma Nakai,JN189543,JN189217,JN189007,AY278399,JN189329,—
Dryopteris crinalis (Hook. & Arn.) C. Chr.,AY268835,—,—,AY268774,—,—
"Dryopteris crispifolia Rasbach, Reichst. & G.Vida ",JN189597,JN189272,JN189057,AY268819,JN189378,—
Dryopteris cristata (L.) A. Gray,JN189514,JN189187,JN188977,JN189082,JN189299,—
Dryopteris cycadina (Franch. & Sav.) C. Chr.,KT831858,JN189218,JN189008,AY278400,JN189330,—
Dryopteris cyclopeltidiformis C. Chr.,—,DQ191836,—,—,—,—
Dryopteris decipiens (Hook.) Kuntze,KT831859,DQ191837,—,JX535874,—,—
Dryopteris dehuaensis Ching & K.H. Shing,—,DQ191838,—,—,—,—
Dryopteris diacalpe Li Bing Zhang,JX535864,JX535854,—,JX535908,—,—
Dryopteris dickinsii (Franch. & Sav.) C. Chr.,JN189598,JN189273,JN189058,JX535875,JN189379,—
Dryopteris diffracta (Baker) C. Chr.,KT831860,EU797685,—,EU797682,—,—
Dryopteris dilatata (Hoffm.) A. Gray,JN189575,JN189248,JN189036,JN189139,JN189354,—
Dryopteris emeiensis (Ching) Li Bing Zhang,JX648111,JX535815,—,JX535867,—,—
Dryopteris erythrosora (D.C. Eaton) Kuntze,JN189581,DQ191840,JN189042,KC896584,JN189361,—
Dryopteris expansa (C. Presl) Fraser-Jenk. & Jermy,JN189506,JN189180,JN188969,JN189074,JN189291,—
Dryopteris exstipellata (Ching & S.H. Wu) Li Bing Zhang,JX535857,JX535813,—,JX535865,—,—
Dryopteris fatuhivensis E.Brown,—,JN189275,JN189060,JN189168,JN189381,—
Dryopteris filix-mas (L.) Schott 38,JQ935265,JQ936810,JQ683036,JQ683007,JQ683060,38
Dryopteris filix-mas (L.) Schott 66,JN189507,JN189181,JN188970,JN189075,JN189292,66
Dryopteris flaccisquama A. Rojas,JN189519,JN189193,JN188983,JN189088,JN189305,—
Dryopteris formosana (Christ) C. Chr.,JN189545,JN189219,JN189009,JN189114,JN189331,—
Dryopteris fragrans (L.) Schott,JN189512,JN189185,JN188975,JN189080,JN189297,—
Dryopteris fuscipes C. Chr.,KC896549,DQ191841,—,KC896583,—,—
Dryopteris fuscoatra var. fuscoatra (Hillebr.) W.J. Rob.,AY268837,—,—,AY268760,—,—
Dryopteris fuscoatra var. lamoureuxii Fraser-Jenk.,AY268841,—,—,AY268783,—,—
Dryopteris futura A.R. Sm.,JN189534,JN189208,JN188998,JN189103,JN189320,—
Dryopteris gamblei (C. Hope) C. Chr.,AY587112,DQ191842,—,—,—,—
Dryopteris glabra var. alboviridis (W. H. Wagner) D. D. Palmer ,AY268831,—,—,AY268768,—,—
Dryopteris glabra var. flynii D. D. Palmer ,AY268829,—,—,AY268764,—,—
Dryopteris glabra var. glabra Kuntze,AY268830,—,—,AY268767,—,—
Dryopteris glabra var. hobdyana (W. H. Wagner) D. D. Palmer,AY268839,—,—,AY268773,—,—
Dryopteris glabra var. nuda (Underw.) Fraser-Jenk.,AY268843,—,—,AY268785,—,—
Dryopteris glabra var. pusilla (Hillebr.) Fraser-Jenk.,AY268828,—,—,AY268763,—,—
Dryopteris glabra var. soripes (Hillebr.) Herat ex Fraser-Jenk.,AY268842,—,—,AY268786,—,—
Dryopteris goeringiana (Kunze) Koidz.,KC896541,JN189256,JN189043,KC896575,JN189362,—
Dryopteris goldiana (Hook. ex Goldie) A. Gray,JN189505,JN189179,JN188968,JN189073,JN189290,—
Dryopteris monticola (Makino) C. Chr.,KC896540,JN189264,—,JX535889,—,—
Dryopteris guanchica Gibby & Jermy ,JN189573,JN189246,JN189034,—,JN189352,—
Dryopteris gymnophylla (Baker) C. Chr.,KC896545,—,—,JX535876,—,—
Dryopteris gymnosora (Makino) C. Chr.,JN189546,JX535824,JN189010,JX535877,JN189332,—
Dryopteris hadanoi Sa. Kurata,AB575133,JX535825,—,JX535878,—,—
Dryopteris handeliana C. Chr.,AB575134,JX535826,—,JX535879,—,—
Dryopteris hangchowensis Ching,AB575135,JX535827,—,JX535880,—,—
Dryopteris hasseltii (Blume) C. Chr.,AB575136,EU797693,—,EU797679,—,—
Dryopteris hawaiiensis W.J. Rob.,JN189580,JN189253,JN189041,JN189144,JN189359,—
Dryopteris hendersonii (Bedd.) C. Chr.,DQ508783,JN189221,—,DQ514507,—,—
Dryopteris heterolaena C. Chr.,EF460682,—,—,DQ514492,—,—
Dryopteris himachalensis Fraser-Jenk.,—,DQ191845,—,—,—,—
Dryopteris hondoensis Koidz.,JN189583,JN189257,JN189044,JN189149,JN189363,—
Dryopteris huberi (Christ) C. Chr.,JN189520,JN189194,JN188984,JN189089,JN189306,—
Dryopteris indusiata (Makino) Makino & Yamam.,AB575140,DQ191847,—,JX535882,—,—
Dryopteris insularis var. chichisimensis (Nakai ex H. Itô) H. Itô,AB908391,—,—,—,—,—
Dryopteris insularis var. insularis Kodama,AB575141,—,—,—,—,—
Dryopteris integriloba C. Chr.,KJ196808,—,—,KJ196701,—,—
Dryopteris intermedia (Muhl. ex Willd.) A. Gray,JQ935261,JQ936842,JQ683039,JN105304,JQ683061,—
Dryopteris juxtaposita Christ,JN189549,JN189223,JN189012,JN189118,JN189334,—
Dryopteris karwinskyana (Mett.) Kuntze,JN189521,JN189195,JN188985,JN189090,JN189307,—
Dryopteris kawakamii Hayata,KT831861,—,—,—,—,—
Dryopteris kinkiensis Koidz. ex Tagawa,KC896548,DQ191849,—,KC896582,—,—
Dryopteris knoblochii A.R. Sm.,JN189522,JN189196,JN188986,JN189091,JN189308,—
Dryopteris koidsumiana Tagawa,AB908381,—,—,—,—,—
Dryopteris komarovii Kossinsky,JN189550,JN189224,JN189013,JN189119,JN189335,—
Dryopteris labordei (Christ) C. Chr.,JN189602,DQ191850,JN189062,JN189169,JN189383,—
Dryopteris lacera (Thunb.) Kuntze,JN189585,DQ191851,JN189046,KC896572,JN189365,—
Dryopteris lachoongensis (Bedd.) B.K. Nayar & S. Kaur,—,DQ191852,—,—,—,—
Dryopteris lankwangensis Ching,—,DQ191855,—,—,—,—
Dryopteris lepidopoda Hayata,AY268854,DQ191853,—,AY268789,—,—
Dryopteris lepidorachis C. Chr.,—,DQ191854,—,—,—,—
Dryopteris ludoviciana (Kunze) Small,JN189513,JN189186,JN188976,JN189081,JN189298,—
Dryopteris lunanensis (Christ) C. Chr.,AB575150,JX535833,—,JX535886,—,—
Dryopteris maderensis Alston,JN189599,JN189274,JN189059,JN189166,JN189380,—
Dryopteris marginalis (L.) A. Gray,JN189502,JN189177,JN188965,JN189071,JN189287,—
Dryopteris marginata (C.B. Clarke) Christ,—,DQ191857,—,—,—,—
Dryopteris mauiensis C. Chr.,AY268833,—,—,AY268770,—,—
Dryopteris maximowiczii Kuntze,EF540721,—,—,—,—,—
Dryopteris maxonii Underw. & C. Chr.,JN189529,JN189203,JN188993,JN189098,JN189315,—
Dryopteris medioxima Koidz.,AB575152,—,—,—,—,—
Dryopteris melanocarpa Hayata,AB575153,JX535835,—,JX535888,—,—
Dryopteris munchii A.R. Sm.,JN189535,JN189209,JN188999,JN189104,JN189321,—
Dryopteris namegatae (Sa. Kurata) Sa. Kurata,AB575155,—,—,—,—,—
Dryopteris neolacera Ching,EF463129,DQ191858,—,—,—,—
Dryopteris nodosa (C. Presl) Li Bing Zhang,AB575065,JX535814,—,JX535866,—,—
Dryopteris nubigena Maxon & C.V. Morton,JN189501,—,JN188964,JN189070,JN189286,—
Dryopteris odontoloma (Bedd.) C. Chr.,JN189590,DQ191859,JN189051,JN189157,JN189371,—
Dryopteris oligodonta Pic. Serm.,JN189574,JN189247,JN189035,JN189138,JN189353,—
Dryopteris oreades Fomin,AY268850,JN189254,—,JN189146,JN189360,—
Dryopteris pacifica Christ,AB908378,JX535838,JN189054,KC896588,JN189375,—
Dryopteris paleolata (Pic. Serm.) Li Bing Zhang,KT831862,—,—,EF540696,—,—
Dryopteris pallida Fomin,JN189591,JN189266,—,JN189158,JN189372,—
Dryopteris panda (C.B. Clarke) Christ,JN189551,JN189225,JN189014,JN189120,JN189336,—
Dryopteris patula (Sw.) Underw.,JN189500,JN189176,JN188963,—,JN189285,—
Dryopteris pentheri (Krasser) C. Chr.,JN189576,JN189249,JN189037,JN189140,JN189355,—
Dryopteris peranema Li Bing Zhang,DQ508784,—,—,DQ514509,—,—
Dryopteris podophylla (Hook.) Kuntze,—,DQ191864,—,—,—,—
Dryopteris polita Rosenst.,KJ196824,DQ191865,JN189066,EU797684,JN189387,—
Dryopteris polylepis (Franch. & Sav.) C. Chr.,JN189589,JN189263,JN189050,JN189155,JN189369,—
Dryopteris protobissetiana K. Hori & N. Murak.,AB914474,—,—,—,—,—
Dryopteris pseudocaenopteris (Kunze) Li Bing Zhang,KT831864,—,—,DQ514490,—,—
Dryopteris pseudofilix-mas (Fée) Rothm.,JN189523,JN189197,JN188987,JN189092,JN189309,—
Dryopteris pseudosparsa Ching,—,DQ191866,—,—,—,—
Dryopteris pulcherrima Ching,JN189515,JN189188,JN188978,JN189083,JN189300,—
Dryopteris pycnopteroides (Christ) C. Chr.,JN189584,JN189258,JN189045,JN189150,JN189364,—
Dryopteris redactopinnata S.K. Basu & Panigrahi,—,DQ191869,—,—,—,—
Dryopteris reflexosquamata Hayata,JN189604,JN189279,JN189064,JN189171,JN189385,—
Dryopteris remota (A. Braun) Hayek,JN189530,JN189204,JN188994,JN189099,JN189316,—
Dryopteris rosea (E. Fourn.) Mickel & Beitel,JN189524,JN189198,JN188988,JN189093,JN189310,—
Dryopteris rossii C. Chr.,JN189531,JN189205,JN188995,JN189100,JN189317,—
Dryopteris rosthornii (Diels) C. Chr.,JX535861,JX535839,—,JX535892,—,—
Dryopteris rubiginosa (Brack.) Kuntze,AY268836,—,—,AY268771,—,—
Dryopteris rubrobrunnea W.M. Chu,JX535862,DQ191871,—,JX535893,—,—
Dryopteris ryo-itoana Sa. Kurata,AB575161,JX535841,—,JX535894,—,—
Dryopteris sabaei (Franch. & Sav.) C. Chr.,AB575162,JX535842,—,JX535895,—,—
Dryopteris sacrosancta Koidz.,JN189592,JX535843,JN189052,JX535896,JN189373,—
Dryopteris saffordii C. Chr.,JN189525,JN189199,JN188989,JN189095,JN189311,—
Dryopteris sandwicensis C. Chr.,AY268827,—,—,AY268762,—,—
Dryopteris saxifraga H. Itô,KC896564,JX535844,—,KC896597,—,—
Dryopteris saxifragivaria Nakai,KC896567,—,—,KC896601,—,—
Dryopteris scottii (Bedd.) Ching,JN189552,DQ191872,JN189015,JX535898,JN189337,—
Dryopteris setosa (Thunb.) Akas.,AY587123,DQ191873,—,—,—,—
Dryopteris shibipedis Sa. Kurata,AB575166,—,—,—,—,—
Dryopteris shikokiana (Makino) C. Chr.,JX648112,DQ191886,—,JX535912,—,—
Dryopteris shiroumensis Kurata & Nakam.,AB575168,JX535845,—,JX535899,—,—
Dryopteris sieboldii (Van Houtte ex Mett.) Kuntze,JN189595,JX535846,JN189055,AY268815,JN189376,—
Dryopteris silaensis Ching,—,DQ191874,—,—,—,—
Dryopteris simasakii var. paleacea (H. Itô) Sa. Kurata,AB575171,—,—,JX535901,—,—
Dryopteris simasakii var. simasakii (H. Itô) Sa. Kurata,AB575170,—,—,—,—,—
Dryopteris sinofibrillosa Ching,AY587118,DQ151857,—,DQ150394,—,—
Dryopteris sordidipes Tagawa,AB908372,JX535848,JN189065,JN189172,JN189386,—
"Dryopteris sororia (Maxon) M. McHenry, Sundue & Barrington",KC878849,—,—,KC878866,—,—
Dryopteris sparsa (D. Don) Kuntze,JN189601,DQ191876,JN189061,DQ514499,JN189382,—
Dryopteris squamifera Ching & S.K. Wu,DQ508777,—,—,DQ514500,—,—
Dryopteris stenolepis (Baker) C. Chr.,JN189553,DQ191877,JN189016,AY268824,JN189338,—
Dryopteris stewartii Fraser-Jenk.,JN189586,JN189260,JN189047,AY278405,JN189366,—
Dryopteris subbipinnata W.H.Wagner & R.W.Hobdy,JN189579,JN189252,JN189040,AY268765,JN189358,—
Dryopteris subexaltata (Christ) C. Chr.,KC896546,—,—,KC896580,—,—
Dryopteris sublacera Christ,JN189554,DQ191878,JN189017,DQ514501,JN189339,—
Dryopteris submarginata Rosenst.,—,DQ191879,—,—,—,—
Dryopteris subpycnopteroides Ching ex Fraser-Jenk.,AY587113,DQ191880,—,—,—,—
Dryopteris subreflexipinna Ogata,—,EU797690,—,EU797676,—,—
Dryopteris tetrapinnata W.H. Wagner & Hobdy,AY268838,—,—,AY268772,—,—
Dryopteris tokyoensis (Matsum. ex Makino) C. Chr.,JN189578,JN189251,JN189039,JN189142,JN189357,—
Dryopteris transmorrisonensis (Hayata) Hayata,KJ196813,—,—,KJ196687,—,—
Dryopteris tsoongii Ching,—,DQ191882,—,—,—,—
Dryopteris tsugiwoi Sa. Kurata,AB575175,—,—,—,—,—
Dryopteris tsutsuiana Sa. Kurata,AB575176,JX535850,—,—,—,—
Dryopteris unidentata var. paleacea Herat ex Fraser-Jenk.,AY268832,—,—,AY268769,—,—
Dryopteris unidentata var. unidentata C. Chr.,AY268825,—,—,AY268766,—,—
Dryopteris uniformis (Makino) Makino,JN189555,DQ191883,JN189018,JX535905,JN189340,—
Dryopteris varia (L.) Kuntze,KC896552,JN189230,—,AY736355,JN189341,—
Dryopteris wallichiana (Spreng.) Hyl.,JN189497,DQ191884,JN188960,AY268761,JN189282,—
"Dryopteris wattsii M. McKeown, Sundue & Barrington",JX028224,JX028225,JX028226,JX028227,—,—
Dryopteris yakusilvicola Sa. Kurata,AB575180,JX535853,—,—,—,—
Dryopteris zhuweimingii Li Bing Zhang,KT831867,JX648110,—,—,—,—
